WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
1,1,Diamond Reef and Salt Fish Tail Reef,ATG,Ia,2,14.587807623412
2,2,Palaster Reef,ATG,Ia,2,3.8330944159518
46,46,Reserva Biológica Atol Das Rocas,BRA,Ia,2,351.426696544039
126,126,Los Flamencos,COL,Ib,1,23.3748048045
161,161,Isla Guayabo,CRI,Ia,1,0.015999043744878
233,233,Flamingo (Bonaire) Sanctuary,BES,Ia,1,0.425273940351897
503,503,Nuyts Archipelago,AUS,Ia,1,24.2212809308961
1047,1047,Buck Island Reef National Monument,VIR,Ia,2,76.1365799997324
1273,1273,Leuwang Sancang,IDN,Ia,1,9.72876646397678
1334,1334,Nordaust-Svalbard,SJM,Ib,1,36858.8601185879
1335,1335,Søraust-Svalbard,SJM,Ib,1,15489.2710575999
1342,1342,Aldabra Atoll,SYC,Ia,2,2421.13978578833
1394,1394,2001287 Rödkallen-Söräspen,SWE,Ib,1,61.7588233981671
1396,1396,2000435 Stora Karlsö,SWE,Ia,1,9.28816113652478
1397,1397,2000853 Haparanda-Sandskär,SWE,Ib,2,9.59788055446437
1553,1553,Surtsey,ISL,Ia,2,64.1325140277909
1554,1554,Eldey,ISL,Ia,2,0.029996473396522
1559,1559,Waituna Wetlands,NZL,Ia,1,6.96919350011923
1561,1561,Farewell Spit,NZL,Ia,1,84.2013511872571
1850,1850,Sian Ka'an,MEX,Ia,1,1575.74986762415
1940,1940,Kapiti,NZL,Ia,2,21.3889761347047
2219,2219,Estação Ecológica De Maracá Jipioca,BRA,Ia,1,94.7483961812723
2628_A,2628,Great Barrier Reef,AUS,Ia,2,857.995733316221
2854,2854,Pinellas National Wildlife Refuge,USA,Ia,1,0.966119830177595
2910,2910,Baker Island National Wildlife Refuge,UMI,Ia,2,1672.3972057401
2926,2926,Howland Island National Wildlife Refuge,UMI,Ia,2,1708.4572118464
2931,2931,Jarvis Island National Wildlife Refuge,UMI,Ia,2,1740.32476157312
2932,2932,Johnston Island National Wildlife Refuge,UMI,Ia,2,2293.04115230981
2936,2936,Rose Atoll National Wildlife Refuge,ASM,Ia,2,6.67036952661984
3156,3156,Vuo Nature,FJI,Ia,1,0.028717724865214
3200,3200,Nord-Fugløya,NOR,Ia,1,3.862313965511
3202,3202,Øra,NOR,Ia,1,12.6436227468892
3207,3207,Karlsøyvær,NOR,Ia,1,39.9698525288106
4189_B,4189,MITLENATCH ISLAND NATURE PARK,CAN,Ia,2,1.1187746339383
4247,4247,Ngerukewid Island Wildlife Preserve,PLW,Ia,2,10.607863704552
4262_A,4262,Scilly (Manuae) et Bellinghausen (Motu One),PYF,Ia,2,124.185434126151
4476,4476,Sundarban East,BGD,Ib,1,369.716682120872
4477,4477,Sundarban South,BGD,Ib,1,339.446126809781
4478,4478,Sundarban West,BGD,Ib,1,513.245120402494
4491,4491,Passaros Integral Nature Reserve,AGO,Ia,1,0.046200618507648
4684,4684,Foster Islands,AUS,Ia,1,0.064749443905857
4686,4686,Isabella Island,AUS,Ia,1,0.089441190480689
4687,4687,Rodondo Island,AUS,Ia,1,0.224781379437874
4688,4688,The Doughboys,AUS,Ia,1,0.117089637344766
4690,4690,West Moncoeur Island,AUS,Ia,1,0.031683155427236
4768,4768,Melville Bay,GRL,Ib,1,5180.87077708522
5305,5305,George Rocks,AUS,Ia,1,0.026358011340569
5311,5311,Low Islets,AUS,Ia,1,0.026888661464343
5312,5312,Moriarty Rocks,AUS,Ia,1,0.017563655636509
5317,5317,Tenth Island,AUS,Ia,2,0.006226534955146
5898,5898,Riserva naturale Sacca di Bellocchio II,ITA,Ia,1,0.370390573973302
6137,6137,Tautra,NOR,Ia,1,2.26036378071278
6147,6147,Stabbursnes,NOR,Ia,1,10.0498824012855
6170,6170,Kurefjorden,NOR,Ia,1,3.23649332754207
6172,6172,Presterødkilen,NOR,Ia,1,0.743882422962265
6173,6173,Ilene,NOR,Ia,1,0.616898162426549
6546,6546,To nisi Piperi stis Voreies Sporades,GRC,Ia,1,0.44770690121209
6923,6923,2000975 Östra Kullaberg,SWE,Ib,1,1.89444224042968
6939,6939,Cousin,SYC,Ia,1,0.053552402000479
6940,6940,La Digue Shell Reserve,SYC,Ia,2,1.43769273244451
6941,6941,Aride,SYC,Ia,1,0.13976360905668
7534,7534,Forlandsøyane,SJM,Ia,1,4.78894015833006
8537,8537,Pananjung Pangandaran,IDN,Ia,1,3.82914267033393
8770,8770,Pulau Pombo,IDN,Ia,2,1.76625795858835
8784,8784,Kepulauan Banyak,IDN,Ia,1,2058.42645405251
9040,9040,Labrador Nature Reserve,SGP,Ib,1,0.024064700226301
9152,9152,Ile aux Serpents,MUS,Ia,2,0.310602557533478
9891,9891,Froan,NOR,Ia,2,393.785446583645
