epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4184,1.70276,1.12272,1.25738,0.74467,0.71588,0.7442,0.32312,1.68472,1.17534,1.27713,0.000665298,0.000665298,0.000665298
2,131.976,1.74384,1.17809,1.29802,0.63742,0.61155,0.59953,0.23807,1.8283,1.40717,1.36389,0.00130999,0.00130999,0.00130999
3,193.494,1.80283,1.24374,1.32386,0.72582,0.71707,0.71332,0.29322,1.81802,1.20813,1.33696,0.00193268,0.00193268,0.00193268
4,254.625,1.83125,1.25075,1.32637,0.67768,0.68935,0.6707,0.27162,1.80557,1.27308,1.33899,0.001901,0.001901,0.001901
5,315.93,1.81129,1.24114,1.31041,0.67528,0.6754,0.64527,0.26375,1.80177,1.42972,1.33556,0.001868,0.001868,0.001868
6,377.023,1.80885,1.26831,1.3194,0.68994,0.68973,0.6766,0.26367,1.78371,1.25421,1.31705,0.001835,0.001835,0.001835
7,437.899,1.78468,1.23595,1.30888,0.64555,0.62426,0.63949,0.26738,1.7329,1.28706,1.31169,0.001802,0.001802,0.001802
8,498.301,1.79927,1.27804,1.30504,0.67243,0.71068,0.66582,0.26182,1.75074,1.31484,1.32084,0.001769,0.001769,0.001769
9,559.189,1.77878,1.2685,1.32199,0.71512,0.71,0.70718,0.2924,1.78967,1.27925,1.33238,0.001736,0.001736,0.001736
10,620.327,1.78598,1.24263,1.30844,0.7157,0.70264,0.69852,0.29286,1.73618,1.24254,1.30939,0.001703,0.001703,0.001703
11,681.619,1.781,1.24303,1.33064,0.70706,0.67368,0.71086,0.30438,1.7171,1.20709,1.30258,0.00167,0.00167,0.00167
12,744.073,1.78023,1.24655,1.2905,0.72753,0.66087,0.69877,0.30045,1.72659,1.197,1.3075,0.001637,0.001637,0.001637
13,806.551,1.80423,1.21264,1.31145,0.74389,0.71764,0.7363,0.3184,1.71489,1.16899,1.30159,0.001604,0.001604,0.001604
14,869.171,1.77898,1.22381,1.30179,0.73907,0.68551,0.72319,0.30308,1.72224,1.20873,1.30364,0.001571,0.001571,0.001571
15,931.773,1.78654,1.2252,1.31747,0.73123,0.71411,0.72342,0.3038,1.722,1.2133,1.30576,0.001538,0.001538,0.001538
16,995.512,1.76832,1.23308,1.31705,0.73773,0.7142,0.72736,0.30135,1.71628,1.18724,1.2918,0.001505,0.001505,0.001505
17,1057.86,1.75399,1.18915,1.28518,0.71569,0.70066,0.72226,0.30557,1.70666,1.18328,1.29235,0.001472,0.001472,0.001472
18,1120.55,1.7665,1.19577,1.30105,0.70945,0.73007,0.70104,0.27974,1.72927,1.22364,1.30636,0.001439,0.001439,0.001439
19,1182.77,1.77375,1.22269,1.29854,0.72512,0.69089,0.72413,0.30677,1.69536,1.15735,1.28169,0.001406,0.001406,0.001406
20,1245.06,1.72609,1.17497,1.28718,0.73567,0.69643,0.72308,0.302,1.70595,1.1724,1.28138,0.001373,0.001373,0.001373
21,1307.33,1.72186,1.16496,1.27772,0.7328,0.73715,0.74409,0.31661,1.704,1.13511,1.29122,0.00134,0.00134,0.00134
22,1370.22,1.74963,1.1513,1.29291,0.70367,0.7121,0.69472,0.27252,1.72949,1.19335,1.29694,0.001307,0.001307,0.001307
23,1432.94,1.72929,1.16268,1.28124,0.76475,0.71516,0.75944,0.32773,1.68682,1.13214,1.2792,0.001274,0.001274,0.001274
24,1494.84,1.754,1.16994,1.28016,0.74593,0.73944,0.74777,0.32015,1.67876,1.1566,1.27238,0.001241,0.001241,0.001241
25,1559.64,1.73698,1.19691,1.25619,0.73837,0.73912,0.74261,0.32115,1.66724,1.18969,1.26396,0.001208,0.001208,0.001208
26,1621.64,1.69749,1.14476,1.25701,0.74205,0.73772,0.75073,0.31535,1.71606,1.13597,1.28629,0.001175,0.001175,0.001175
27,1683.62,1.73158,1.14987,1.26449,0.77411,0.72739,0.76718,0.32804,1.66343,1.13664,1.2554,0.001142,0.001142,0.001142
28,1745.2,1.7086,1.13375,1.25226,0.72802,0.71822,0.71834,0.29505,1.70269,1.17345,1.26751,0.001109,0.001109,0.001109
29,1807.99,1.71523,1.10398,1.25487,0.75297,0.73651,0.75113,0.31515,1.70571,1.11868,1.27959,0.001076,0.001076,0.001076
30,1869.46,1.72525,1.12396,1.25984,0.75977,0.72089,0.75556,0.32099,1.68882,1.1262,1.27824,0.001043,0.001043,0.001043
31,1947.46,1.67482,1.08198,1.24603,0.75569,0.74446,0.757,0.32154,1.66897,1.1215,1.26872,0.00101,0.00101,0.00101
