epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2578,1.70276,1.12272,1.25738,0.74467,0.71588,0.7442,0.32312,1.68472,1.17534,1.27713,0.000665298,0.000665298,0.000665298
2,139.12,1.74384,1.17809,1.29802,0.63742,0.61155,0.59953,0.23807,1.8283,1.40717,1.36389,0.00130999,0.00130999,0.00130999
3,204.47,1.80283,1.24374,1.32386,0.72582,0.71707,0.71332,0.29322,1.81802,1.20813,1.33696,0.00193268,0.00193268,0.00193268
4,268.555,1.83125,1.25075,1.32637,0.67768,0.68935,0.6707,0.27162,1.80557,1.27308,1.33899,0.001901,0.001901,0.001901
5,332.928,1.81129,1.24114,1.31041,0.67528,0.6754,0.64527,0.26375,1.80177,1.42972,1.33556,0.001868,0.001868,0.001868
6,396.692,1.80885,1.26831,1.3194,0.68994,0.68973,0.6766,0.26367,1.78371,1.25421,1.31705,0.001835,0.001835,0.001835
7,459.953,1.78468,1.23595,1.30888,0.64555,0.62426,0.63949,0.26738,1.7329,1.28706,1.31169,0.001802,0.001802,0.001802
8,523.464,1.79927,1.27804,1.30504,0.67243,0.71068,0.66582,0.26182,1.75074,1.31484,1.32084,0.001769,0.001769,0.001769
9,588.075,1.77878,1.2685,1.32199,0.71512,0.71,0.70718,0.2924,1.78967,1.27925,1.33238,0.001736,0.001736,0.001736
10,652.153,1.78598,1.24263,1.30844,0.7157,0.70264,0.69852,0.29286,1.73618,1.24254,1.30939,0.001703,0.001703,0.001703
11,715.783,1.781,1.24303,1.33064,0.70706,0.67368,0.71086,0.30438,1.7171,1.20709,1.30258,0.00167,0.00167,0.00167
12,778.809,1.78023,1.24655,1.2905,0.72753,0.66087,0.69877,0.30045,1.72659,1.197,1.3075,0.001637,0.001637,0.001637
13,841.896,1.80423,1.21264,1.31145,0.74389,0.71764,0.7363,0.3184,1.71489,1.16899,1.30159,0.001604,0.001604,0.001604
14,903.458,1.77898,1.22381,1.30179,0.73907,0.68551,0.72319,0.30308,1.72224,1.20873,1.30364,0.001571,0.001571,0.001571
15,964.628,1.78654,1.2252,1.31747,0.73123,0.71411,0.72342,0.3038,1.722,1.2133,1.30576,0.001538,0.001538,0.001538
16,1026.26,1.76832,1.23308,1.31705,0.73773,0.7142,0.72736,0.30135,1.71628,1.18724,1.2918,0.001505,0.001505,0.001505
17,1087.95,1.75399,1.18915,1.28518,0.71569,0.70066,0.72226,0.30557,1.70666,1.18328,1.29235,0.001472,0.001472,0.001472
18,1149.2,1.7665,1.19577,1.30105,0.70945,0.73007,0.70104,0.27974,1.72927,1.22364,1.30636,0.001439,0.001439,0.001439
19,1210.51,1.77375,1.22269,1.29854,0.72512,0.69089,0.72413,0.30677,1.69536,1.15735,1.28169,0.001406,0.001406,0.001406
20,1271.93,1.72609,1.17497,1.28718,0.73567,0.69643,0.72308,0.302,1.70595,1.1724,1.28138,0.001373,0.001373,0.001373
21,1333.61,1.72186,1.16496,1.27772,0.7328,0.73715,0.74409,0.31661,1.704,1.13511,1.29122,0.00134,0.00134,0.00134
