epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5317,1.70276,1.12272,1.25738,0.74467,0.71588,0.7442,0.32312,1.68472,1.17534,1.27713,0.000665298,0.000665298,0.000665298
2,138.076,1.74294,1.17919,1.29848,0.64277,0.62244,0.61122,0.24788,1.79094,1.36564,1.34388,0.00128801,0.00128801,0.00128801
3,201.735,1.7957,1.23745,1.31678,0.72394,0.736,0.72526,0.30043,1.79274,1.21493,1.32106,0.00186672,0.00186672,0.00186672
4,264.478,1.80915,1.25652,1.30733,0.66633,0.69681,0.65286,0.26708,1.77536,1.36748,1.32153,0.001802,0.001802,0.001802
5,327.606,1.80264,1.2196,1.30165,0.68164,0.73022,0.7026,0.28315,1.77703,1.28814,1.32472,0.001736,0.001736,0.001736
6,391.27,1.8008,1.2629,1.31103,0.68838,0.72567,0.70241,0.28908,1.7355,1.2397,1.30905,0.00167,0.00167,0.00167
7,454.801,1.7712,1.2059,1.29781,0.67992,0.67865,0.66385,0.26648,1.7401,1.24717,1.30062,0.001604,0.001604,0.001604
8,518.177,1.78727,1.25918,1.2945,0.69846,0.68056,0.69495,0.28253,1.73392,1.24098,1.31459,0.001538,0.001538,0.001538
9,579.494,1.76333,1.2235,1.30393,0.74237,0.72107,0.73383,0.3103,1.73939,1.19365,1.30535,0.001472,0.001472,0.001472
10,640.309,1.77354,1.22079,1.30317,0.71622,0.73485,0.71478,0.29438,1.72889,1.21595,1.31031,0.001406,0.001406,0.001406
11,701.64,1.74998,1.19015,1.30599,0.7158,0.68687,0.71823,0.30456,1.72044,1.19398,1.30826,0.00134,0.00134,0.00134
12,762.602,1.76249,1.19085,1.28155,0.71082,0.68653,0.70378,0.29768,1.70397,1.19225,1.29726,0.001274,0.001274,0.001274
13,822.901,1.77878,1.18786,1.29871,0.74223,0.72825,0.73696,0.32227,1.69526,1.16212,1.3012,0.001208,0.001208,0.001208
14,883.85,1.73867,1.17197,1.27626,0.74276,0.70063,0.73206,0.30138,1.7224,1.17213,1.29852,0.001142,0.001142,0.001142
15,944.566,1.7482,1.18564,1.28934,0.73353,0.71191,0.73608,0.32176,1.68417,1.16786,1.27549,0.001076,0.001076,0.001076
16,1021.98,1.69116,1.1333,1.2709,0.73315,0.6975,0.72995,0.30975,1.71384,1.1772,1.28717,0.00101,0.00101,0.00101
17,1081.95,1.69865,1.13324,1.25704,0.70591,0.67223,0.68244,0.27595,1.73388,1.21838,1.28907,0.000944,0.000944,0.000944
18,1142.37,1.67754,1.11826,1.25608,0.74232,0.68973,0.73336,0.3146,1.68096,1.1412,1.27229,0.000878,0.000878,0.000878
19,1203.25,1.66167,1.09344,1.24817,0.75607,0.7128,0.75762,0.32065,1.68855,1.14127,1.27436,0.000812,0.000812,0.000812
20,1264.51,1.64254,1.0876,1.25007,0.74155,0.71085,0.72645,0.3002,1.69089,1.14604,1.27671,0.000746,0.000746,0.000746
21,1325.38,1.62484,1.07108,1.24526,0.76426,0.72263,0.75527,0.32969,1.65927,1.14378,1.27024,0.00068,0.00068,0.00068
22,1388.47,1.62735,1.05764,1.2277,0.75102,0.72567,0.74919,0.32055,1.67156,1.11153,1.26406,0.000614,0.000614,0.000614
23,1449.3,1.60723,1.04538,1.22079,0.73903,0.70178,0.73086,0.30979,1.67313,1.13509,1.25824,0.000548,0.000548,0.000548
24,1510.4,1.62551,1.04157,1.22859,0.76834,0.74752,0.76817,0.3342,1.64957,1.10529,1.25857,0.000482,0.000482,0.000482
25,1571.3,1.59924,1.02308,1.21973,0.77332,0.71841,0.76236,0.33137,1.6395,1.08878,1.25038,0.000416,0.000416,0.000416
26,1632.26,1.58221,1.01365,1.20528,0.77984,0.74013,0.77617,0.3401,1.6319,1.07949,1.24916,0.00035,0.00035,0.00035
27,1692.89,1.58855,1.01169,1.20911,0.78999,0.74556,0.78475,0.34781,1.63114,1.06483,1.24562,0.000284,0.000284,0.000284
28,1754.66,1.58973,1.00726,1.20213,0.776,0.73447,0.77319,0.34134,1.62094,1.07565,1.24275,0.000218,0.000218,0.000218
29,1817.46,1.56558,0.99628,1.18563,0.77941,0.74029,0.77925,0.34766,1.61646,1.06491,1.23788,0.000152,0.000152,0.000152
30,1879.83,1.56926,1.0031,1.18327,0.78783,0.73447,0.77791,0.34536,1.61635,1.05897,1.23503,8.6e-05,8.6e-05,8.6e-05
