epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.061,1.36893,0.96863,1.12484,0.84209,0.68293,0.75841,0.49521,1.16871,0.83188,1.20376,0.000324561,0.000324561,0.0678684
2,1011.08,1.42368,0.9412,1.13694,0.86482,0.68699,0.76374,0.49997,1.15985,0.82409,1.20778,0.000636184,0.000636184,0.0348467
3,2139.63,1.35132,0.91018,1.09848,0.8426,0.71814,0.7715,0.51078,1.13478,0.79512,1.18968,0.000925807,0.000925807,0.001803
4,3190.15,1.32435,0.85149,1.05874,0.81962,0.70325,0.76703,0.50818,1.13103,0.81022,1.19406,0.000901,0.000901,0.000901
5,4159.97,1.3564,0.86619,1.10861,0.81268,0.70325,0.7714,0.50974,1.12611,0.79286,1.20456,0.000868,0.000868,0.000868
6,5256.79,1.36233,0.85588,1.09507,0.86137,0.67073,0.76645,0.50128,1.12104,0.81928,1.19033,0.000835,0.000835,0.000835
7,6132.02,1.33688,0.81152,1.07125,0.82496,0.68969,0.76975,0.50549,1.13352,0.80197,1.19527,0.000802,0.000802,0.000802
8,7096.35,1.31023,0.85164,1.09755,0.78923,0.71138,0.75805,0.496,1.15547,0.82046,1.20549,0.000769,0.000769,0.000769
9,8234.6,1.35244,0.82618,1.11342,0.84479,0.68589,0.77639,0.50713,1.108,0.78019,1.18737,0.000736,0.000736,0.000736
10,8919.77,1.30474,0.80592,1.07943,0.82732,0.70111,0.77703,0.50877,1.12453,0.76969,1.19615,0.000703,0.000703,0.000703
11,9818.01,1.26878,0.77312,1.06252,0.81313,0.7439,0.78078,0.51515,1.10964,0.7521,1.18442,0.00067,0.00067,0.00067
12,10865,1.24604,0.76661,1.05969,0.77778,0.73171,0.77569,0.51433,1.1205,0.78518,1.18345,0.000637,0.000637,0.000637
13,11439.6,1.31619,0.82079,1.07548,0.81963,0.71138,0.77981,0.51339,1.11036,0.78546,1.179,0.000604,0.000604,0.000604
14,11924.6,1.31077,0.78908,1.08012,0.8328,0.69919,0.77621,0.51729,1.09976,0.78841,1.17495,0.000571,0.000571,0.000571
15,12401.3,1.32153,0.80462,1.08124,0.83286,0.70897,0.78035,0.51295,1.10631,0.7727,1.18272,0.000538,0.000538,0.000538
16,12863.5,1.28115,0.7799,1.08583,0.83667,0.70732,0.78281,0.5157,1.10821,0.77868,1.17914,0.000505,0.000505,0.000505
17,13324.6,1.28463,0.74994,1.07089,0.83436,0.71668,0.78631,0.52656,1.09435,0.76447,1.16478,0.000472,0.000472,0.000472
18,13785.3,1.25696,0.74343,1.056,0.88932,0.67886,0.77755,0.53187,1.08265,0.76935,1.16702,0.000439,0.000439,0.000439
19,14246.4,1.26058,0.76133,1.0721,0.84053,0.70703,0.78193,0.52094,1.10006,0.74935,1.17497,0.000406,0.000406,0.000406
20,14701.8,1.26224,0.75469,1.08051,0.87777,0.6714,0.78308,0.51611,1.11091,0.75817,1.17819,0.000373,0.000373,0.000373
21,15148.2,1.271,0.76857,1.07034,0.88899,0.68365,0.78512,0.52844,1.08243,0.72827,1.16099,0.00034,0.00034,0.00034
22,15594.9,1.23518,0.73904,1.07321,0.79445,0.70702,0.78283,0.52088,1.08688,0.76464,1.16338,0.000307,0.000307,0.000307
23,16042.6,1.25076,0.74453,1.05561,0.8788,0.68293,0.77976,0.52684,1.09361,0.7518,1.15845,0.000274,0.000274,0.000274
24,16490.6,1.21762,0.72565,1.05487,0.81907,0.69928,0.78145,0.52676,1.08577,0.75134,1.16007,0.000241,0.000241,0.000241
25,16935.9,1.22276,0.72848,1.05069,0.86229,0.68699,0.7891,0.52454,1.09019,0.74755,1.16449,0.000208,0.000208,0.000208
26,17381.8,1.21103,0.73431,1.05155,0.88403,0.66667,0.78487,0.52966,1.07571,0.74195,1.15195,0.000175,0.000175,0.000175
27,17828,1.23508,0.73485,1.07131,0.88221,0.67886,0.78684,0.53023,1.07704,0.73372,1.15127,0.000142,0.000142,0.000142
28,18275.3,1.22188,0.71807,1.04167,0.86842,0.68293,0.78741,0.52702,1.08095,0.74216,1.15313,0.000109,0.000109,0.000109
29,18723.8,1.21669,0.71513,1.04598,0.88253,0.6719,0.78606,0.52904,1.0755,0.73827,1.14784,7.6e-05,7.6e-05,7.6e-05
30,19167.2,1.2121,0.72421,1.05753,0.87766,0.67072,0.78326,0.53123,1.07126,0.73984,1.14687,4.3e-05,4.3e-05,4.3e-05
