epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.429,1.16719,0.82109,0.95243,0.79489,0.71138,0.76135,0.51477,0.98066,0.63659,1.03059,0.000324561,0.000324561,0.0678684
2,610.382,1.17241,0.75525,0.95423,0.82225,0.70732,0.7591,0.51663,0.97426,0.62925,1.02215,0.000641612,0.000641612,0.0348521
3,886.151,1.18321,0.74868,0.94147,0.857,0.65777,0.74831,0.51479,0.97561,0.65157,1.02015,0.000942162,0.000942162,0.00181936
4,1160.93,1.21083,0.73649,0.93317,0.8733,0.6748,0.75113,0.5097,0.99262,0.64939,1.03071,0.00092575,0.00092575,0.00092575
5,1426.18,1.17856,0.73451,0.95202,0.84653,0.69919,0.75254,0.51311,0.98086,0.63626,1.02033,0.000901,0.000901,0.000901
6,1694.01,1.19111,0.71338,0.94513,0.83486,0.69871,0.75414,0.50537,0.99907,0.65868,1.02865,0.00087625,0.00087625,0.00087625
7,1958.96,1.19475,0.68922,0.94529,0.8202,0.68611,0.75639,0.51565,0.98219,0.64558,1.02339,0.0008515,0.0008515,0.0008515
8,2251.18,1.1661,0.70179,0.95429,0.87057,0.68355,0.75257,0.52108,0.98764,0.64132,1.0336,0.00082675,0.00082675,0.00082675
9,2537.9,1.20224,0.70317,0.95311,0.85324,0.67886,0.752,0.51272,1.01278,0.65355,1.04788,0.000802,0.000802,0.000802
10,2814.88,1.17605,0.69167,0.94756,0.86962,0.70325,0.77555,0.51997,1.00856,0.63873,1.04127,0.00077725,0.00077725,0.00077725
11,3088.89,1.17734,0.67873,0.94826,0.87718,0.70325,0.77521,0.52034,0.99127,0.62112,1.03556,0.0007525,0.0007525,0.0007525
12,3350.23,1.12549,0.66097,0.94023,0.86193,0.68517,0.77246,0.5202,0.98184,0.62663,1.03545,0.00072775,0.00072775,0.00072775
13,3601.1,1.18384,0.69639,0.9337,0.84948,0.68825,0.76634,0.52062,0.97199,0.63384,1.02451,0.000703,0.000703,0.000703
14,3798.61,1.16536,0.6736,0.94002,0.86949,0.70325,0.77379,0.52092,0.97868,0.62533,1.02844,0.00067825,0.00067825,0.00067825
15,4133.32,1.18707,0.69143,0.93759,0.8876,0.69106,0.76468,0.51804,0.98542,0.63023,1.04192,0.0006535,0.0006535,0.0006535
16,4555.33,1.25765,0.71829,0.95154,0.85434,0.69919,0.76352,0.52195,0.97797,0.62763,1.03799,0.00062875,0.00062875,0.00062875
17,4968.36,1.21565,0.68895,0.93778,0.86813,0.69106,0.77211,0.52468,0.98537,0.62584,1.04387,0.000604,0.000604,0.000604
18,5274.34,1.17802,0.67926,0.94811,0.86642,0.69512,0.76064,0.52913,0.97122,0.62075,1.03157,0.00057925,0.00057925,0.00057925
19,5461.96,1.13663,0.67279,0.92902,0.84158,0.69106,0.77214,0.52602,0.97685,0.61907,1.04165,0.0005545,0.0005545,0.0005545
20,5649.26,1.16434,0.67863,0.93991,0.8814,0.6646,0.75287,0.51936,0.97922,0.61781,1.03484,0.00052975,0.00052975,0.00052975
21,5838.03,1.11722,0.64589,0.93203,0.86626,0.68461,0.76543,0.52561,0.99972,0.63072,1.04165,0.000505,0.000505,0.000505
22,6025.4,1.16839,0.68269,0.93461,0.85226,0.70352,0.77469,0.52192,0.99292,0.62236,1.03565,0.00048025,0.00048025,0.00048025
23,6212.61,1.1558,0.65894,0.93542,0.87462,0.68058,0.76998,0.52096,0.97879,0.62462,1.03671,0.0004555,0.0004555,0.0004555
24,6401.07,1.13675,0.66537,0.93983,0.87021,0.68699,0.77103,0.52403,0.97735,0.61714,1.03508,0.00043075,0.00043075,0.00043075
25,6585.49,1.12641,0.68075,0.94243,0.87102,0.69106,0.76805,0.52829,0.97027,0.61192,1.03066,0.000406,0.000406,0.000406
26,6768.68,1.03834,0.60992,0.89275,0.85896,0.6748,0.76612,0.51909,0.97453,0.62439,1.02945,0.00038125,0.00038125,0.00038125
27,6952.62,1.03562,0.59515,0.90692,0.85087,0.69581,0.76483,0.51997,0.98885,0.63038,1.04566,0.0003565,0.0003565,0.0003565
28,7135.21,1.06696,0.61994,0.89818,0.85682,0.69512,0.77111,0.51949,0.98534,0.62474,1.04033,0.00033175,0.00033175,0.00033175
29,7317.98,1.07552,0.6167,0.9038,0.85887,0.67886,0.76847,0.51932,1.00574,0.63622,1.0484,0.000307,0.000307,0.000307
30,7499.86,1.06783,0.61696,0.93208,0.88182,0.66729,0.76571,0.51989,0.99672,0.62972,1.03896,0.00028225,0.00028225,0.00028225
