epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3625,2.0525,1.72263,1.50928,0.46034,0.52895,0.44167,0.17098,1.9771,1.49834,1.54086,0.00066486,0.00066486,0.00066486
2,100.742,1.99055,1.50692,1.48488,0.52184,0.60488,0.53143,0.2125,1.92655,1.54691,1.56803,0.00128759,0.00128759,0.00128759
3,146.197,1.99151,1.46461,1.4972,0.5073,0.64152,0.5166,0.20048,1.94817,1.48667,1.57846,0.00186631,0.00186631,0.00186631
4,191.573,1.99927,1.49031,1.5042,0.53307,0.60025,0.54776,0.21614,1.91829,1.4686,1.5924,0.001802,0.001802,0.001802
5,236.573,1.97796,1.43688,1.47981,0.52153,0.5973,0.5425,0.21697,1.87755,1.45847,1.53887,0.001736,0.001736,0.001736
6,281.801,1.94741,1.42504,1.48869,0.44817,0.56086,0.47332,0.18642,1.92527,1.58136,1.56179,0.00167,0.00167,0.00167
7,326.815,1.9387,1.37764,1.41237,0.62828,0.65766,0.62564,0.25731,1.84967,1.43979,1.52517,0.001604,0.001604,0.001604
8,371.631,1.91918,1.36449,1.42976,0.58047,0.60152,0.57408,0.22827,1.89343,1.39719,1.51863,0.001538,0.001538,0.001538
9,416.564,1.8798,1.33303,1.41315,0.57999,0.58639,0.58042,0.23057,1.85904,1.42131,1.52759,0.001472,0.001472,0.001472
10,461.514,1.88815,1.3454,1.42217,0.56021,0.61081,0.54717,0.21572,1.87587,1.4181,1.50333,0.001406,0.001406,0.001406
11,506.54,1.87732,1.3429,1.41722,0.68105,0.66273,0.66749,0.27378,1.7947,1.44251,1.46707,0.00134,0.00134,0.00134
12,551.391,1.84061,1.2647,1.40406,0.66826,0.66062,0.66098,0.26107,1.85155,1.43105,1.50223,0.001274,0.001274,0.001274
13,595.859,1.85553,1.29018,1.40058,0.60916,0.60724,0.61856,0.24619,1.80981,1.35135,1.48714,0.001208,0.001208,0.001208
14,640.386,1.81631,1.30009,1.38879,0.64701,0.65597,0.66102,0.27609,1.77595,1.29556,1.45923,0.001142,0.001142,0.001142
15,685.001,1.81747,1.26098,1.37737,0.65273,0.63909,0.63999,0.26176,1.77811,1.29637,1.45712,0.001076,0.001076,0.001076
16,746.27,1.75051,1.20667,1.35693,0.67848,0.6699,0.67462,0.27639,1.80152,1.33749,1.51062,0.00101,0.00101,0.00101
17,790.4,1.76518,1.22252,1.35932,0.68001,0.66201,0.68201,0.28324,1.77937,1.32452,1.45402,0.000944,0.000944,0.000944
18,834.793,1.74741,1.19863,1.35209,0.65436,0.65175,0.65996,0.2736,1.75825,1.31682,1.43468,0.000878,0.000878,0.000878
19,879.186,1.72167,1.17837,1.34355,0.71514,0.66128,0.70011,0.29249,1.76773,1.26349,1.46204,0.000812,0.000812,0.000812
20,923.322,1.70358,1.13947,1.33923,0.6774,0.67539,0.68465,0.29225,1.70748,1.27049,1.43068,0.000746,0.000746,0.000746
21,967.246,1.66896,1.14684,1.30284,0.68746,0.68552,0.69271,0.29604,1.72242,1.20678,1.4309,0.00068,0.00068,0.00068
22,1011.41,1.67121,1.13316,1.32726,0.69578,0.67075,0.69398,0.29272,1.73909,1.26656,1.42323,0.000614,0.000614,0.000614
23,1055.84,1.67214,1.1196,1.2911,0.70616,0.68299,0.69775,0.2953,1.71676,1.21221,1.41994,0.000548,0.000548,0.000548
24,1099.94,1.65065,1.08329,1.2925,0.70772,0.68721,0.69711,0.30097,1.71853,1.16739,1.41257,0.000482,0.000482,0.000482
25,1144.05,1.67392,1.08644,1.28205,0.70561,0.69712,0.70126,0.29462,1.6825,1.17215,1.40964,0.000416,0.000416,0.000416
26,1188.33,1.62561,1.0712,1.28532,0.72219,0.70121,0.72126,0.31375,1.66146,1.15506,1.40217,0.00035,0.00035,0.00035
27,1232.51,1.60738,1.06026,1.26383,0.7239,0.69734,0.71705,0.30898,1.65975,1.14469,1.38379,0.000284,0.000284,0.000284
28,1276.79,1.58975,1.03461,1.25082,0.72356,0.70325,0.72022,0.31263,1.64949,1.13471,1.37697,0.000218,0.000218,0.000218
29,1321.03,1.60259,1.05322,1.25884,0.71289,0.69354,0.70922,0.30413,1.6649,1.13464,1.3787,0.000152,0.000152,0.000152
30,1365.13,1.60657,1.06544,1.27286,0.73132,0.69861,0.72179,0.3184,1.64321,1.13921,1.37234,8.6e-05,8.6e-05,8.6e-05
