epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8561,1.78352,1.20876,1.30721,0.57635,0.6384,0.57114,0.21767,1.78568,1.32052,1.37038,0.000665245,0.000665245,0.000665245
2,138.902,1.81029,1.28637,1.36706,0.6631,0.65486,0.64295,0.24457,1.82877,1.33916,1.40722,0.00128796,0.00128796,0.00128796
3,197.633,1.82906,1.29771,1.35652,0.69107,0.65062,0.66287,0.27957,1.82549,1.32631,1.41747,0.00186667,0.00186667,0.00186667
4,259.116,1.88037,1.36315,1.35016,0.56776,0.58175,0.55402,0.2146,1.88553,1.39326,1.42314,0.001802,0.001802,0.001802
5,325.639,1.86089,1.36427,1.37075,0.64059,0.62444,0.61222,0.24448,1.8578,1.40469,1.43988,0.001736,0.001736,0.001736
6,395.613,1.85667,1.33022,1.37941,0.70122,0.67307,0.69327,0.28368,1.83323,1.30318,1.40009,0.00167,0.00167,0.00167
7,457.339,1.85493,1.3316,1.36462,0.63853,0.6798,0.64313,0.24302,1.82333,1.36742,1.39705,0.001604,0.001604,0.001604
8,518.341,1.83201,1.30899,1.34696,0.65192,0.65715,0.64173,0.25141,1.81034,1.32987,1.38542,0.001538,0.001538,0.001538
9,579.344,1.81175,1.29715,1.34554,0.64233,0.66384,0.63116,0.24733,1.792,1.29353,1.3947,0.001472,0.001472,0.001472
10,637.813,1.83315,1.27322,1.35991,0.69409,0.66983,0.68664,0.28239,1.75394,1.26278,1.37491,0.001406,0.001406,0.001406
11,695.891,1.83524,1.27066,1.34316,0.6608,0.71696,0.67092,0.26944,1.74274,1.32899,1.37145,0.00134,0.00134,0.00134
12,753.835,1.78413,1.23162,1.33028,0.72318,0.68329,0.72142,0.30732,1.73157,1.19852,1.34151,0.001274,0.001274,0.001274
13,811.568,1.78478,1.23072,1.32134,0.73745,0.70956,0.7341,0.31003,1.71303,1.20834,1.34483,0.001208,0.001208,0.001208
14,870.084,1.78973,1.22467,1.31716,0.67128,0.65786,0.66406,0.2763,1.74301,1.24943,1.33472,0.001142,0.001142,0.001142
15,928.462,1.76201,1.20382,1.31209,0.72838,0.7005,0.71812,0.30483,1.6975,1.1751,1.32923,0.001076,0.001076,0.001076
16,1006.33,1.70475,1.18438,1.2842,0.68492,0.66808,0.66951,0.26519,1.774,1.25109,1.35581,0.00101,0.00101,0.00101
17,1063.7,1.72717,1.16065,1.3065,0.74734,0.71697,0.73993,0.31953,1.68885,1.16619,1.33313,0.000944,0.000944,0.000944
18,1121.25,1.66538,1.15822,1.2706,0.69617,0.7192,0.71375,0.30173,1.70709,1.21385,1.32814,0.000878,0.000878,0.000878
19,1178.99,1.66958,1.14331,1.27344,0.71672,0.74639,0.72853,0.31207,1.70067,1.17714,1.32133,0.000812,0.000812,0.000812
20,1242.05,1.68202,1.13826,1.28435,0.72884,0.71571,0.73466,0.30646,1.68798,1.1564,1.32283,0.000746,0.000746,0.000746
21,1299.8,1.66302,1.13129,1.27691,0.70405,0.73516,0.72542,0.30708,1.67316,1.18416,1.3035,0.00068,0.00068,0.00068
22,1357.53,1.66679,1.10992,1.25184,0.72275,0.7202,0.72313,0.30506,1.67428,1.14459,1.30671,0.000614,0.000614,0.000614
23,1415.33,1.64219,1.0981,1.23905,0.74286,0.72145,0.74053,0.31958,1.64612,1.12231,1.29682,0.000548,0.000548,0.000548
24,1473.84,1.64014,1.10746,1.23555,0.75256,0.71522,0.74922,0.3209,1.6648,1.11259,1.30295,0.000482,0.000482,0.000482
25,1531.43,1.61785,1.07675,1.2395,0.75965,0.70549,0.75211,0.32959,1.64337,1.108,1.29056,0.000416,0.000416,0.000416
26,1588.84,1.60323,1.05375,1.23836,0.74616,0.72938,0.74738,0.31015,1.66799,1.10603,1.29714,0.00035,0.00035,0.00035
27,1646.32,1.60029,1.08094,1.22544,0.77716,0.73566,0.76682,0.3392,1.62878,1.10414,1.28341,0.000284,0.000284,0.000284
28,1704.07,1.61238,1.04519,1.21268,0.75827,0.72893,0.75543,0.33036,1.62624,1.09215,1.28257,0.000218,0.000218,0.000218
29,1761.46,1.58644,1.04553,1.21206,0.76549,0.73017,0.75855,0.33375,1.61677,1.08796,1.27733,0.000152,0.000152,0.000152
30,1819.53,1.58722,1.02514,1.21142,0.75884,0.72349,0.75747,0.32926,1.62465,1.07715,1.27592,8.6e-05,8.6e-05,8.6e-05
