epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.513,1.09525,0.6753,0.98602,0.80947,0.71545,0.76687,0.51952,0.97503,0.6432,1.02613,0.00029,0.00029,0.07129
2,487.147,1.03677,0.62102,0.9556,0.83761,0.7129,0.76451,0.52242,0.97466,0.64921,1.02521,0.00057053,0.00057053,0.0415705
3,696.715,1.05055,0.64843,0.97982,0.83817,0.71585,0.7631,0.52272,0.97507,0.64309,1.0217,0.00083126,0.00083126,0.0118313
4,958.525,1.02394,0.63104,0.97144,0.80639,0.72764,0.76717,0.52004,0.98957,0.63551,1.03528,0.000901,0.000901,0.000901
5,1422.59,1.07315,0.63308,0.97144,0.83303,0.69919,0.76907,0.525,0.98533,0.63503,1.03404,0.000868,0.000868,0.000868
6,1852.65,1.08389,0.62093,0.9517,0.80481,0.72072,0.75412,0.51662,0.98446,0.66497,1.02902,0.000835,0.000835,0.000835
7,2073.55,1.10503,0.62891,0.9706,0.8244,0.72523,0.77087,0.51582,0.98864,0.64692,1.02804,0.000802,0.000802,0.000802
8,2225.86,1.02433,0.6312,0.94773,0.81714,0.70325,0.76433,0.51794,1.00624,0.66774,1.04207,0.000769,0.000769,0.000769
9,2371.51,0.99028,0.60081,0.94967,0.85505,0.72358,0.76988,0.5303,0.96994,0.61533,1.02333,0.000736,0.000736,0.000736
10,2516.51,1.09882,0.63173,0.95338,0.8236,0.70325,0.76409,0.53001,0.96683,0.63532,1.02366,0.000703,0.000703,0.000703
11,2662.12,1.08672,0.63058,0.95712,0.82149,0.73577,0.77645,0.52941,0.97098,0.63433,1.03067,0.00067,0.00067,0.00067
12,2807.25,0.97707,0.59441,0.94289,0.81402,0.72358,0.76826,0.52953,0.96357,0.62834,1.02949,0.000637,0.000637,0.000637
13,2952.61,1.08754,0.61471,0.94422,0.8228,0.69837,0.76318,0.53155,0.95835,0.64733,1.0241,0.000604,0.000604,0.000604
14,3094.08,1.00173,0.59131,0.96723,0.82345,0.72046,0.77565,0.53385,0.96682,0.62593,1.02786,0.000571,0.000571,0.000571
15,3239,1.04734,0.61902,0.95137,0.85641,0.70325,0.77019,0.54001,0.94925,0.62282,1.01776,0.000538,0.000538,0.000538
16,3381.6,0.97928,0.57934,0.94674,0.8474,0.70732,0.7769,0.53045,0.95664,0.63203,1.01591,0.000505,0.000505,0.000505
17,3526.64,1.08121,0.60363,0.93626,0.81966,0.71545,0.76924,0.53107,0.95203,0.63628,1.01846,0.000472,0.000472,0.000472
18,3669.92,1.03866,0.60317,0.95902,0.81221,0.72764,0.7756,0.5232,0.96891,0.6294,1.02527,0.000439,0.000439,0.000439
19,3812.57,0.9909,0.57766,0.94349,0.83075,0.72358,0.77506,0.52435,0.96389,0.63179,1.02357,0.000406,0.000406,0.000406
20,3956.72,1.02061,0.60687,0.94981,0.83217,0.69919,0.77449,0.53039,0.96461,0.63368,1.02156,0.000373,0.000373,0.000373
21,4098.35,0.85385,0.50379,0.90066,0.83778,0.71138,0.76575,0.5216,0.97845,0.64253,1.0274,0.00034,0.00034,0.00034
22,4240.65,0.93378,0.52633,0.89368,0.84313,0.721,0.77618,0.53034,0.9758,0.63346,1.0246,0.000307,0.000307,0.000307
23,4384.08,0.88505,0.51844,0.9132,0.85039,0.73941,0.77982,0.53462,0.97416,0.6238,1.02311,0.000274,0.000274,0.000274
24,4528.63,0.89966,0.51024,0.90249,0.84839,0.71545,0.77778,0.53541,0.96537,0.62339,1.02184,0.000241,0.000241,0.000241
25,4671.04,0.86264,0.49291,0.89417,0.84082,0.70861,0.7789,0.53767,0.96657,0.62143,1.02334,0.000208,0.000208,0.000208
