epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.253,1.55187,1.26876,1.79265,0.76961,0.6592,0.72374,0.37829,1.53184,1.31811,1.94905,0.0006621,0.0006621,0.0006621
2,1236.55,1.6109,1.34357,1.88416,0.78897,0.60199,0.71714,0.34784,1.63386,1.40326,2.06902,0.00128492,0.00128492,0.00128492
3,1856.31,1.75452,1.44366,1.97793,0.75735,0.61443,0.7071,0.34879,1.6379,1.36273,2.09116,0.00186374,0.00186374,0.00186374
4,2476.98,1.7687,1.44481,2.03327,0.61689,0.62888,0.62161,0.31443,1.64108,1.38989,2.08161,0.001802,0.001802,0.001802
5,3093.73,1.70076,1.37293,1.94931,0.81455,0.64465,0.70978,0.33431,1.66949,1.27788,2.11004,0.001736,0.001736,0.001736
6,3719.62,1.71537,1.26203,1.91422,0.80107,0.6194,0.72311,0.34832,1.65519,1.23482,2.04795,0.00167,0.00167,0.00167
7,4337.56,1.63942,1.24651,1.92541,0.77631,0.60448,0.69636,0.36077,1.55704,1.2562,1.98469,0.001604,0.001604,0.001604
8,4937.5,1.66264,1.24626,1.85761,0.68932,0.64677,0.6807,0.34209,1.59641,1.24477,2.01582,0.001538,0.001538,0.001538
9,5700.94,1.67409,1.21936,1.86292,0.78315,0.64925,0.73922,0.35366,1.60808,1.28381,1.98891,0.001472,0.001472,0.001472
10,6549.58,1.6246,1.22363,1.86128,0.77556,0.65174,0.72491,0.36462,1.53058,1.11577,1.93613,0.001406,0.001406,0.001406
11,7532.12,1.56384,1.12405,1.81803,0.35179,0.60346,0.50223,0.28443,1.55989,2.05992,1.97521,0.00134,0.00134,0.00134
12,8461.52,1.57532,1.17745,1.80372,0.77001,0.66418,0.72258,0.37054,1.59224,1.13901,1.97799,0.001274,0.001274,0.001274
13,9385.25,1.55978,1.16538,1.83079,0.69694,0.66667,0.71627,0.38153,1.51331,1.13754,1.9439,0.001208,0.001208,0.001208
14,10310.7,1.4997,1.10684,1.76611,0.84816,0.68089,0.76713,0.4049,1.49574,1.05604,1.91376,0.001142,0.001142,0.001142
15,11241.8,1.52455,1.03619,1.72445,0.76382,0.68408,0.76317,0.40215,1.47936,1.01772,1.85416,0.001076,0.001076,0.001076
16,12164.4,1.39947,0.9806,1.73119,0.77042,0.6845,0.75821,0.40331,1.54502,1.02078,1.87886,0.00101,0.00101,0.00101
17,13085.2,1.38904,0.94835,1.70678,0.85015,0.67413,0.7699,0.4085,1.50409,0.96497,1.85276,0.000944,0.000944,0.000944
18,14003,1.37106,0.92047,1.67724,0.7603,0.68657,0.75891,0.41848,1.45265,0.98709,1.84857,0.000878,0.000878,0.000878
19,14926.5,1.3401,0.89359,1.65646,0.81033,0.65423,0.76445,0.41207,1.44296,0.95008,1.82455,0.000812,0.000812,0.000812
20,15850.6,1.30774,0.87732,1.63842,0.85297,0.68408,0.80258,0.43309,1.42051,0.94015,1.80144,0.000746,0.000746,0.000746
21,16774.7,1.2869,0.83153,1.60579,0.75253,0.72139,0.77168,0.42226,1.43772,0.9445,1.81905,0.00068,0.00068,0.00068
22,17695.9,1.25293,0.84314,1.58689,0.80908,0.68657,0.77569,0.41903,1.4242,0.95975,1.83752,0.000614,0.000614,0.000614
23,18621.5,1.28629,0.87401,1.6046,0.79461,0.69154,0.7632,0.42481,1.41577,0.94469,1.79238,0.000548,0.000548,0.000548
24,19544.2,1.26908,0.84332,1.58285,0.84813,0.66683,0.78826,0.43023,1.3768,0.9155,1.7642,0.000482,0.000482,0.000482
25,20476.8,1.2261,0.7989,1.55098,0.85211,0.68159,0.78928,0.44317,1.35951,0.87088,1.73617,0.000416,0.000416,0.000416
26,21472.1,1.20999,0.7979,1.53312,0.84866,0.699,0.78575,0.44416,1.36693,0.86819,1.73359,0.00035,0.00035,0.00035
27,22384.9,1.19392,0.75924,1.52919,0.81574,0.69403,0.78473,0.44167,1.34438,0.88154,1.73116,0.000284,0.000284,0.000284
28,23305.5,1.17283,0.75652,1.51908,0.83704,0.68408,0.79249,0.44843,1.35118,0.85519,1.7246,0.000218,0.000218,0.000218
29,24228.8,1.1837,0.73784,1.48511,0.84647,0.71318,0.81235,0.45278,1.33106,0.84006,1.70152,0.000152,0.000152,0.000152
30,25148.6,1.13385,0.71778,1.47169,0.86613,0.70815,0.81638,0.45497,1.33337,0.83532,1.69413,8.6e-05,8.6e-05,8.6e-05
