epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2408.49,3.19978,7.77934,4.19032,0.30629,0.26016,0.19947,0.0593,2.66682,5.85565,3.76057,0.000662281,0.000662281,0.000662281
2,4722.66,2.71759,5.33484,3.40342,0.17583,0.42276,0.15892,0.06056,2.37328,5.46928,3.43135,0.00128509,0.00128509,0.00128509
3,6726.13,2.49494,4.74737,3.07432,0.5345,0.37807,0.3638,0.14517,2.25723,4.54494,3.04357,0.0018639,0.0018639,0.0018639
4,7633.27,2.40648,4.09263,2.87549,0.58916,0.3252,0.34797,0.13804,2.16229,4.65585,2.96713,0.001802,0.001802,0.001802
5,8529.57,2.18848,3.51401,2.67834,0.57249,0.36473,0.40445,0.17293,2.15864,3.73713,2.90763,0.001736,0.001736,0.001736
6,9429.48,2.14569,3.11886,2.51873,0.48364,0.44715,0.44282,0.21619,1.9759,3.47629,2.73532,0.00167,0.00167,0.00167
7,10330.8,2.15103,2.91971,2.41588,0.60183,0.45122,0.4652,0.21132,2.01757,3.08072,2.69796,0.001604,0.001604,0.001604
8,11238.8,2.06263,2.80735,2.43489,0.48442,0.48888,0.48659,0.23355,1.92193,2.8558,2.59514,0.001538,0.001538,0.001538
9,12130.7,1.98931,2.56409,2.30062,0.67522,0.47561,0.55594,0.26731,1.77362,2.59111,2.45579,0.001472,0.001472,0.001472
10,13038.4,1.97023,2.45962,2.29386,0.59073,0.52439,0.54838,0.28727,1.73687,2.49761,2.45453,0.001406,0.001406,0.001406
11,13944.2,1.89051,2.26486,2.21726,0.68625,0.5122,0.57677,0.29293,1.73885,2.38119,2.40245,0.00134,0.00134,0.00134
12,14845.4,1.82749,2.05259,2.12197,0.8244,0.47154,0.58745,0.30261,1.70241,2.13172,2.34055,0.001274,0.001274,0.001274
13,15744.3,1.84463,1.94737,2.12609,0.63012,0.52439,0.59572,0.31479,1.66373,2.01554,2.33439,0.001208,0.001208,0.001208
14,16637,1.83807,1.8754,2.14517,0.66739,0.59756,0.63456,0.34758,1.62499,1.89219,2.24789,0.001142,0.001142,0.001142
15,17535.7,1.79701,1.85802,2.0904,0.79008,0.55079,0.63577,0.34951,1.63915,1.82038,2.25764,0.001076,0.001076,0.001076
16,18419.1,1.6685,1.74068,2.03181,0.73546,0.58766,0.65378,0.34639,1.69349,1.76214,2.32986,0.00101,0.00101,0.00101
17,19304.2,1.63705,1.68945,2.01838,0.80411,0.56735,0.66975,0.38463,1.59228,1.69102,2.22097,0.000944,0.000944,0.000944
18,20193.1,1.58105,1.57503,1.95156,0.84567,0.56098,0.67557,0.38346,1.57199,1.66115,2.18766,0.000878,0.000878,0.000878
19,21086,1.57275,1.56393,1.92369,0.76637,0.57724,0.69103,0.39743,1.548,1.57987,2.16739,0.000812,0.000812,0.000812
20,21978.1,1.52481,1.51209,1.90991,0.75323,0.67004,0.72249,0.40236,1.49304,1.49078,2.08498,0.000746,0.000746,0.000746
21,22872.9,1.52925,1.42102,1.83635,0.76463,0.64708,0.71633,0.4083,1.48056,1.44506,2.09287,0.00068,0.00068,0.00068
22,23770.1,1.45236,1.37283,1.84916,0.82226,0.61382,0.71999,0.4179,1.48699,1.43134,2.06495,0.000614,0.000614,0.000614
23,24668.3,1.52051,1.38546,1.8429,0.81782,0.65695,0.73148,0.42098,1.44212,1.37363,2.0174,0.000548,0.000548,0.000548
24,25561,1.43521,1.32481,1.78901,0.7973,0.6396,0.72005,0.4489,1.38897,1.37474,1.97209,0.000482,0.000482,0.000482
25,26449.8,1.42132,1.26534,1.76369,0.79592,0.65041,0.73086,0.43964,1.37466,1.31703,1.93259,0.000416,0.000416,0.000416
26,27335.2,1.36039,1.22197,1.71553,0.79184,0.64947,0.73592,0.43556,1.4136,1.31257,2.00157,0.00035,0.00035,0.00035
27,28218.8,1.40118,1.23201,1.7302,0.7802,0.63008,0.7214,0.42006,1.41474,1.27861,1.98058,0.000284,0.000284,0.000284
28,29107.1,1.36839,1.17122,1.68077,0.79174,0.66453,0.73235,0.45944,1.32217,1.27031,1.88053,0.000218,0.000218,0.000218
29,29995.5,1.31216,1.14357,1.66156,0.8251,0.63287,0.7345,0.45357,1.32724,1.28769,1.90032,0.000152,0.000152,0.000152
30,30886.1,1.34072,1.16255,1.70023,0.83419,0.65442,0.74389,0.46589,1.30408,1.23675,1.86759,8.6e-05,8.6e-05,8.6e-05
