epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.565,0.99614,0.61422,0.971,0.83662,0.70325,0.76858,0.53791,0.96651,0.63483,1.02599,0.00031,0.00031,0.06931
2,419.881,0.95402,0.57836,0.93714,0.8395,0.71138,0.76867,0.53155,0.96091,0.6224,1.02357,0.00060921,0.00060921,0.0376092
3,667.699,0.98188,0.59104,0.96596,0.89378,0.64989,0.75151,0.52119,0.97409,0.63976,1.03494,0.0008873,0.0008873,0.0058873
4,923.544,1.03841,0.61473,0.95658,0.82896,0.70325,0.76336,0.52074,0.98626,0.64213,1.04364,0.000901,0.000901,0.000901
5,1205.14,0.98265,0.60096,0.96364,0.83743,0.69106,0.77171,0.52482,0.99338,0.65367,1.04318,0.000868,0.000868,0.000868
6,1481.8,1.0901,0.62664,0.94447,0.85365,0.71133,0.7655,0.52473,0.9641,0.62973,1.02417,0.000835,0.000835,0.000835
7,1788.65,1.01968,0.60625,0.94457,0.80976,0.69211,0.76231,0.52366,0.96306,0.65328,1.02445,0.000802,0.000802,0.000802
8,1964.35,0.98635,0.6177,0.96416,0.85327,0.68699,0.77457,0.52455,0.96634,0.63925,1.02312,0.000769,0.000769,0.000769
9,2100.18,1.07107,0.64322,0.96593,0.8436,0.70166,0.76811,0.52613,0.96728,0.62219,1.02566,0.000736,0.000736,0.000736
10,2328.3,1.09781,0.62032,0.95198,0.82695,0.70732,0.76862,0.51997,0.97817,0.62895,1.03025,0.000703,0.000703,0.000703
11,2574.23,1.02367,0.59159,0.95109,0.88242,0.7017,0.78995,0.52679,0.96505,0.62752,1.0192,0.00067,0.00067,0.00067
