epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1361.1,1.47524,0.99871,1.64739,0.83229,0.5732,0.70631,0.36737,1.50159,1.58055,1.78185,0.000662626,0.000662626,0.000662626
2,2605.63,1.53443,1.05551,1.69647,0.71922,0.53608,0.60625,0.32504,1.55056,1.29018,1.7802,0.00128543,0.00128543,0.00128543
3,3782.44,1.56206,1.16747,1.7756,0.77732,0.5567,0.65116,0.33475,1.53891,3.52209,1.78155,0.00186423,0.00186423,0.00186423
4,5418.62,1.63613,1.19282,1.76414,0.77936,0.56701,0.66054,0.3418,1.56026,1.60313,1.79898,0.001802,0.001802,0.001802
5,6961.96,1.63103,1.19545,1.75909,0.78533,0.58144,0.68338,0.34227,1.58056,1.94037,1.79681,0.001736,0.001736,0.001736
6,8202.93,1.63151,1.19619,1.73629,0.78299,0.52371,0.62744,0.31543,1.60386,7.80177,1.80209,0.00167,0.00167,0.00167
7,8889.66,1.66536,1.19814,1.78142,0.80086,0.55556,0.65332,0.34581,1.50094,1.39441,1.72385,0.001604,0.001604,0.001604
8,9572.92,1.57972,1.15755,1.68549,0.75745,0.55374,0.65218,0.34974,1.52159,2.13255,1.73237,0.001538,0.001538,0.001538
9,10249.9,1.57218,1.11252,1.68137,0.77593,0.55876,0.6612,0.34446,1.51926,1.96971,1.76603,0.001472,0.001472,0.001472
10,10926,1.56905,1.08904,1.70672,0.73305,0.56495,0.6656,0.35315,1.50828,2.36835,1.75832,0.001406,0.001406,0.001406
11,11605.9,1.53294,1.06164,1.65711,0.74743,0.58969,0.68407,0.35532,1.49934,1.80489,1.76096,0.00134,0.00134,0.00134
12,12287.1,1.49928,1.02209,1.64783,0.80581,0.59794,0.71251,0.37435,1.46017,1.16149,1.68157,0.001274,0.001274,0.001274
13,12968,1.50646,1.00763,1.63979,0.78271,0.61443,0.71091,0.36823,1.48921,1.3689,1.71272,0.001208,0.001208,0.001208
14,13644.2,1.45975,0.97833,1.64187,0.81866,0.57732,0.71483,0.36499,1.49069,1.60841,1.72344,0.001142,0.001142,0.001142
15,14325.3,1.46139,0.98461,1.62349,0.8378,0.60825,0.71884,0.38605,1.43751,1.41246,1.6775,0.001076,0.001076,0.001076
16,15000.4,1.42412,0.96442,1.6114,0.77971,0.56924,0.67931,0.36884,1.404,1.29283,1.67948,0.00101,0.00101,0.00101
17,15674.7,1.40791,0.9925,1.61768,0.78728,0.59381,0.70778,0.37289,1.44892,1.67787,1.68126,0.000944,0.000944,0.000944
18,16347.5,1.36445,0.89831,1.57141,0.80923,0.58969,0.70873,0.38384,1.42455,1.21903,1.65007,0.000878,0.000878,0.000878
19,17021.7,1.34145,0.91843,1.58438,0.77966,0.61856,0.71253,0.38126,1.4293,1.25137,1.66227,0.000812,0.000812,0.000812
20,17695.5,1.29396,0.87583,1.54617,0.76847,0.59537,0.6912,0.37991,1.37881,1.76713,1.62916,0.000746,0.000746,0.000746
21,18369.1,1.29708,0.86301,1.52,0.76846,0.62887,0.72439,0.38943,1.41515,1.3323,1.66291,0.00068,0.00068,0.00068
22,19042.8,1.28634,0.84718,1.49514,0.79502,0.59978,0.71896,0.388,1.42963,1.56654,1.67043,0.000614,0.000614,0.000614
23,19716.5,1.29152,0.82167,1.53005,0.76981,0.60206,0.69612,0.383,1.3781,1.27707,1.6385,0.000548,0.000548,0.000548
24,20391.6,1.3104,0.86341,1.532,0.83076,0.59381,0.71562,0.38463,1.39436,2.14717,1.62272,0.000482,0.000482,0.000482
25,21068.9,1.25906,0.80886,1.47534,0.83478,0.61464,0.73654,0.40061,1.36449,1.18522,1.59925,0.000416,0.000416,0.000416
26,21742.5,1.23696,0.80336,1.45397,0.81442,0.60206,0.73108,0.40318,1.37141,1.19576,1.60611,0.00035,0.00035,0.00035
27,22415.4,1.24116,0.78221,1.45523,0.81159,0.58969,0.71472,0.40005,1.34967,1.27661,1.60308,0.000284,0.000284,0.000284
28,23088.3,1.19682,0.77311,1.44161,0.85327,0.60825,0.72817,0.40326,1.34978,1.33259,1.59303,0.000218,0.000218,0.000218
29,23762.3,1.23724,0.77497,1.44911,0.83774,0.6,0.72391,0.40522,1.34556,1.32563,1.58168,0.000152,0.000152,0.000152
30,24436.1,1.18686,0.76074,1.41824,0.81909,0.60825,0.7255,0.40879,1.32353,1.15802,1.56243,8.6e-05,8.6e-05,8.6e-05
