epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5766,1.65102,1.07389,1.24693,0.693,0.66919,0.6697,0.28397,1.67484,1.17089,1.34226,0.000665201,0.000665201,0.000665201
2,124.605,1.70128,1.15685,1.2896,0.67894,0.66214,0.67478,0.28289,1.76865,1.21397,1.40009,0.00128792,0.00128792,0.00128792
3,179.908,1.74576,1.20997,1.30524,0.73166,0.69616,0.73048,0.32223,1.68975,1.19935,1.37382,0.00186663,0.00186663,0.00186663
4,233.84,1.73867,1.23595,1.29933,0.68692,0.6757,0.68094,0.27464,1.79472,1.23485,1.41859,0.001802,0.001802,0.001802
5,288.328,1.76842,1.2716,1.3183,0.71505,0.69146,0.71046,0.30787,1.71374,1.2002,1.38285,0.001736,0.001736,0.001736
6,342.647,1.7597,1.21155,1.31196,0.67466,0.62839,0.65959,0.27298,1.73038,1.20356,1.38578,0.00167,0.00167,0.00167
7,396.998,1.74987,1.18667,1.31072,0.68593,0.70987,0.68796,0.29604,1.70951,1.21791,1.37819,0.001604,0.001604,0.001604
8,451.232,1.73242,1.20543,1.28538,0.70497,0.68725,0.70996,0.30024,1.72799,1.16609,1.39304,0.001538,0.001538,0.001538
9,505.527,1.75837,1.19532,1.29786,0.72847,0.72668,0.73931,0.32457,1.71175,1.14308,1.3734,0.001472,0.001472,0.001472
10,560.497,1.72046,1.17015,1.29564,0.73737,0.68147,0.71608,0.31856,1.69849,1.1646,1.3751,0.001406,0.001406,0.001406
11,616.248,1.71016,1.15948,1.28298,0.69598,0.67967,0.67914,0.27224,1.74684,1.22198,1.39751,0.00134,0.00134,0.00134
12,674.499,1.72528,1.16098,1.29523,0.72591,0.71145,0.72245,0.31099,1.69989,1.18107,1.37839,0.001274,0.001274,0.001274
13,731.168,1.69101,1.15038,1.27435,0.74171,0.68654,0.74088,0.33006,1.67934,1.14168,1.38698,0.001208,0.001208,0.001208
14,785.212,1.70107,1.15096,1.27525,0.74502,0.72071,0.75929,0.33356,1.67323,1.14196,1.36469,0.001142,0.001142,0.001142
15,839.551,1.68575,1.11489,1.27121,0.74511,0.71575,0.75046,0.32951,1.66874,1.12262,1.35012,0.001076,0.001076,0.001076
16,912.938,1.63739,1.10985,1.24332,0.71762,0.67136,0.68643,0.30721,1.6478,1.26655,1.34378,0.00101,0.00101,0.00101
17,966.432,1.63559,1.11595,1.24706,0.74619,0.70711,0.73024,0.31759,1.64948,1.20466,1.35227,0.000944,0.000944,0.000944
18,1020.17,1.60815,1.07746,1.23478,0.75766,0.71759,0.75704,0.33428,1.65974,1.09671,1.33341,0.000878,0.000878,0.000878
19,1073.4,1.60601,1.05133,1.23082,0.76108,0.71096,0.75805,0.33517,1.65982,1.09077,1.3496,0.000812,0.000812,0.000812
20,1126.98,1.60592,1.05781,1.24839,0.76998,0.73023,0.76183,0.3388,1.62849,1.0785,1.33852,0.000746,0.000746,0.000746
21,1181.33,1.59423,1.049,1.2309,0.76118,0.71398,0.75799,0.33717,1.63998,1.07801,1.3335,0.00068,0.00068,0.00068
22,1234.84,1.57304,1.02568,1.2233,0.75309,0.72337,0.75227,0.33872,1.62747,1.0795,1.33255,0.000614,0.000614,0.000614
23,1288.26,1.57323,1.00524,1.21512,0.76059,0.72741,0.7626,0.34641,1.61716,1.08845,1.3285,0.000548,0.000548,0.000548
24,1341.94,1.56517,1.01592,1.20025,0.74978,0.71036,0.73997,0.32031,1.65642,1.08245,1.33819,0.000482,0.000482,0.000482
25,1395.28,1.54804,1.00416,1.20898,0.78861,0.72081,0.77174,0.34906,1.61234,1.05299,1.31599,0.000416,0.000416,0.000416
26,1448.51,1.54494,0.97866,1.18862,0.75498,0.71903,0.74442,0.32775,1.64612,1.07375,1.33476,0.00035,0.00035,0.00035
27,1501.83,1.54085,0.977,1.1926,0.77895,0.7212,0.76355,0.35034,1.60861,1.04272,1.32071,0.000284,0.000284,0.000284
28,1555.43,1.53431,0.9714,1.19142,0.7696,0.73463,0.76819,0.3427,1.61137,1.04163,1.31589,0.000218,0.000218,0.000218
29,1608.78,1.56,0.98272,1.19974,0.77681,0.70892,0.75874,0.34505,1.61712,1.05272,1.31807,0.000152,0.000152,0.000152
30,1662.09,1.50249,0.9605,1.18074,0.76934,0.73203,0.76276,0.34697,1.60496,1.04847,1.31352,8.6e-05,8.6e-05,8.6e-05
