epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46422,3.29185,41.7584,3.15224,0,0,0,0,2.57524,86.4199,2.07907,0.00022,0.00022,0.00022
2,5.44366,2.9783,33.1908,3.1599,0,0,0,0,2.57542,86.4768,2.07885,0.00044482,0.00044482,0.00044482
3,7.32221,3.16451,30.4097,3.091,0,0,0,0,2.57466,85.9061,2.07769,0.0006538,0.0006538,0.0006538
4,9.17331,2.84752,30.08,3.08083,0,0,0,0,2.56996,85.483,2.07476,0.00084694,0.00084694,0.00084694
5,11.2241,2.94849,15.6206,3.7667,0,0,0,0,2.47856,80.5395,2.0143,0.00102424,0.00102424,0.00102424
6,13.1159,3.0777,19.1351,3.54576,0,0,0,0,2.28372,73.1587,1.91298,0.0011857,0.0011857,0.0011857
7,14.9884,2.89355,16.0148,4.20285,0,0,0,0,2.28372,73.1587,1.91298,0.00133132,0.00133132,0.00133132
8,16.8642,2.782,20.1595,3.10963,0.0041,0.64,0.00365,0.00109,2.08057,67.7241,1.80307,0.0014611,0.0014611,0.0014611
9,18.7388,3.53108,13.1315,3.72287,0.00205,0.32,0.07749,0.02141,1.99432,64.4004,1.744,0.001472,0.001472,0.001472
10,20.6442,2.90218,18.2331,3.27184,0.5505,0.36,0.34298,0.09881,1.90553,61.063,1.70881,0.001406,0.001406,0.001406
11,22.4423,2.11054,31.0463,2.69212,0.5505,0.36,0.34298,0.09881,1.90553,61.063,1.70881,0.00134,0.00134,0.00134
12,24.3157,2.79269,21.9181,2.84769,0.47089,0.08,0.17327,0.0489,1.7669,57.0298,1.63965,0.001274,0.001274,0.001274
13,26.2481,2.95291,8.73336,3.37922,0.42512,0.36986,0.31698,0.09707,1.58344,52.4703,1.60732,0.001208,0.001208,0.001208
14,28.1213,2.66043,13.683,2.84134,0.24503,0.5,0.24338,0.07859,1.50166,53.4666,1.6059,0.001142,0.001142,0.001142
15,29.98,2.52579,11.2203,3.02379,0.24503,0.5,0.24338,0.07859,1.50166,53.4666,1.6059,0.001076,0.001076,0.001076
16,48.6443,2.28808,26.9009,2.53812,0.26006,0.48,0.22238,0.07248,1.51173,54.8124,1.61994,0.00101,0.00101,0.00101
17,50.6161,2.40141,21.5392,2.7348,0.24527,0.5,0.24595,0.07759,1.5626,53.3971,1.59334,0.000944,0.000944,0.000944
18,52.4333,2.3819,23.5142,2.56844,0.27473,0.38,0.25505,0.07206,1.57216,54.4419,1.52865,0.000878,0.000878,0.000878
19,54.264,2.32499,19.6196,2.71739,0.27473,0.38,0.25505,0.07206,1.57216,54.4419,1.52865,0.000812,0.000812,0.000812
20,56.1089,2.17533,24.827,2.56721,0.44987,0.46,0.36416,0.11307,1.58472,54.1564,1.51815,0.000746,0.000746,0.000746
21,57.9301,2.32364,23.0341,2.78104,0.42046,0.64,0.45608,0.14401,1.59185,52.7977,1.5321,0.00068,0.00068,0.00068
22,59.8164,2.56176,14.121,3.07373,0.43262,0.61005,0.48084,0.16508,1.58922,51.5961,1.54508,0.000614,0.000614,0.000614
23,61.5915,2.13772,22.7039,2.43106,0.43262,0.61005,0.48084,0.16508,1.58922,51.5961,1.54508,0.000548,0.000548,0.000548
24,63.3783,1.84015,27.1079,2.07316,0.48446,0.50754,0.46743,0.16673,1.56174,51.558,1.5338,0.000482,0.000482,0.000482
25,65.2265,2.01806,21.7592,2.19948,0.54333,0.5,0.49277,0.16987,1.53122,51.5018,1.52324,0.000416,0.000416,0.000416
26,67.0312,2.06131,21.7321,2.29122,0.54607,0.5,0.48941,0.16849,1.52183,51.0172,1.52404,0.00035,0.00035,0.00035
27,68.7836,2.18486,26.8941,2.1464,0.54607,0.5,0.48941,0.16849,1.52183,51.0172,1.52404,0.000284,0.000284,0.000284
28,70.5932,1.96462,21.077,2.23332,0.56923,0.48,0.48229,0.17098,1.52778,50.5535,1.53418,0.000218,0.000218,0.000218
29,72.5381,2.19485,18.6654,2.55846,0.44831,0.58,0.48378,0.17107,1.52947,50.5229,1.54439,0.000152,0.000152,0.000152
30,74.4081,1.85204,28.7174,2.07455,0.50917,0.58,0.51065,0.16737,1.51645,51.3034,1.54178,8.6e-05,8.6e-05,8.6e-05
