epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87837,4.4974,34.2468,3.97399,0,0,0,0,4.75449,53.2395,3.74987,0.0006,0.0006,0.0006
2,12.6306,3.78535,25.3872,3.9604,0,0,0,0,4.69392,52.3869,3.72557,0.00117974,0.00117974,0.00117974
3,17.2005,3.31306,23.9923,3.87083,0,0,0,0,4.53005,49.6203,3.61213,0.00171856,0.00171856,0.00171856
4,22.0592,3.50273,18.2507,3.54503,0.06592,0.11027,0.01873,0.00449,3.0511,38.692,3.19638,0.001802,0.001802,0.001802
5,26.7513,3.17246,9.95734,3.5525,0.03885,0.06844,0.00925,0.00218,2.84129,38.443,3.18022,0.001736,0.001736,0.001736
6,32.1804,2.99948,9.22882,3.14112,0.00903,0.22814,0.00308,0.00075,2.77096,342.937,2.76788,0.00167,0.00167,0.00167
7,37.5005,3.05096,10.4497,3.26174,0.20837,0.21418,0.1231,0.03171,2.64223,26.7302,2.52206,0.001604,0.001604,0.001604
8,42.3322,3.01387,10.7665,2.7473,0.2583,0.29658,0.18536,0.04688,2.34629,26.157,2.42193,0.001538,0.001538,0.001538
9,46.8528,2.62635,14.4921,2.62323,0.24099,0.31939,0.1776,0.04294,2.45305,25.5132,2.37437,0.001472,0.001472,0.001472
10,51.4453,2.78471,9.03933,2.82292,0.30416,0.34221,0.2049,0.05962,2.27562,24.4831,2.30456,0.001406,0.001406,0.001406
11,56.1408,2.51545,11.4122,2.58695,0.05031,0.14449,0.0275,0.00796,2.32418,32.2977,2.3391,0.00134,0.00134,0.00134
12,60.7033,2.59897,9.04871,2.70648,0.22335,0.30289,0.13753,0.04054,2.26742,29.5473,2.35835,0.001274,0.001274,0.001274
13,65.3092,2.6065,8.53677,2.60277,0.22618,0.36565,0.15038,0.04482,2.19837,24.8138,2.29789,0.001208,0.001208,0.001208
14,70.0441,2.71813,7.69435,2.66691,0.30178,0.35662,0.24458,0.07119,2.26732,22.8542,2.22534,0.001142,0.001142,0.001142
15,74.637,2.61677,9.51632,2.60528,0.29364,0.34601,0.24769,0.0777,2.19155,23.032,2.16167,0.001076,0.001076,0.001076
16,97.9638,2.29316,14.0395,2.25844,0.25203,0.3308,0.21862,0.06879,2.20519,22.5052,2.15995,0.00101,0.00101,0.00101
17,102.454,2.48987,10.6013,2.42357,0.31712,0.32489,0.25413,0.07992,2.20618,21.6058,2.18217,0.000944,0.000944,0.000944
18,106.946,2.25443,10.5233,2.46704,0.2961,0.38783,0.23979,0.07013,2.12604,20.6753,2.21465,0.000878,0.000878,0.000878
19,111.425,2.45173,12.5763,2.36749,0.3175,0.36502,0.23956,0.07866,2.1386,20.1983,2.15497,0.000812,0.000812,0.000812
20,115.938,2.36889,12.0532,2.26688,0.32755,0.40304,0.25706,0.07711,2.24773,20.7508,2.09567,0.000746,0.000746,0.000746
21,120.507,2.63678,10.1519,2.63738,0.32207,0.41825,0.24062,0.07426,2.24549,20.0682,2.0872,0.00068,0.00068,0.00068
22,125.015,2.21722,14.8641,2.08425,0.27737,0.40572,0.23634,0.07679,2.16714,19.7874,2.05216,0.000614,0.000614,0.000614
23,129.779,2.40014,10.0748,2.4689,0.35376,0.42205,0.28122,0.08916,2.12223,18.9528,2.03942,0.000548,0.000548,0.000548
24,134.306,2.19231,11.608,2.20386,0.31124,0.43726,0.24477,0.08141,2.11183,19.5304,2.02136,0.000482,0.000482,0.000482
25,138.899,2.28683,13.5258,2.18972,0.33328,0.43346,0.26151,0.08264,2.10602,19.382,2.00561,0.000416,0.000416,0.000416
26,143.36,2.19447,11.6526,2.15113,0.33646,0.43346,0.30056,0.09541,2.10873,19.2852,1.9921,0.00035,0.00035,0.00035
27,147.942,2.16292,10.7999,2.11101,0.3315,0.43346,0.30581,0.09741,2.12141,19.0313,1.98879,0.000284,0.000284,0.000284
28,152.402,2.34356,7.87383,2.20897,0.318,0.44867,0.30475,0.09773,2.12337,18.979,1.98356,0.000218,0.000218,0.000218
29,156.931,2.23091,9.38585,2.24211,0.35016,0.38783,0.30958,0.09946,2.12008,18.6409,1.97293,0.000152,0.000152,0.000152
30,161.44,2.36086,7.79764,2.42997,0.35049,0.39163,0.31005,0.10045,2.12413,18.572,1.97682,8.6e-05,8.6e-05,8.6e-05
