epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.062,2.92152,56.1908,2.71762,0,0,0,0,5.07356,35.1205,4.16206,0.0005,0.0005,0.0005
2,12.9535,3.08315,48.1066,2.87792,0,0,0,0,5.07216,35.8315,4.15683,0.00098634,0.00098634,0.00098634
3,17.4351,3.62982,31.7956,3.46268,0,0,0,0,4.49005,37.379,3.91793,0.00143836,0.00143836,0.00143836
4,21.415,2.83373,19.696,3.71803,0.23793,0.06797,0.03899,0.0083,3.28017,26.6517,3.82215,0.001802,0.001802,0.001802
5,25.5559,2.79983,24.7446,3.20301,0.12706,0.15646,0.04178,0.00769,3.27066,23.2269,3.90215,0.001736,0.001736,0.001736
6,30.459,2.69706,22.5754,2.95305,0.19802,0.05442,0.02825,0.0053,3.30478,15.8112,3.74551,0.00167,0.00167,0.00167
7,34.739,2.48989,18.9074,2.93592,0.14454,0.2585,0.09276,0.02069,3.13337,17.5418,3.27853,0.001604,0.001604,0.001604
8,39.0037,2.64601,23.7644,2.50807,0.25886,0.27211,0.14043,0.03774,2.94481,22.9677,3.1479,0.001538,0.001538,0.001538
9,43.3803,2.29046,26.7578,2.39667,0.36163,0.20408,0.18452,0.04675,2.74236,23.0337,2.92281,0.001472,0.001472,0.001472
10,47.4096,2.65138,16.2253,2.63827,0.25037,0.27211,0.15047,0.03161,2.88422,24.7057,2.88961,0.001406,0.001406,0.001406
11,51.3671,2.36142,24.465,2.37103,0.0999,0.23129,0.07198,0.01642,3.18088,24.2081,2.98998,0.00134,0.00134,0.00134
12,55.4217,2.50615,18.9825,2.36479,0.12561,0.21769,0.12123,0.03688,2.79938,20.72,2.75532,0.001274,0.001274,0.001274
13,59.2816,2.34194,22.7932,2.20101,0.18017,0.19048,0.13004,0.03965,2.89545,16.5862,2.95136,0.001208,0.001208,0.001208
14,63.2964,2.63366,22.184,2.33658,0.22335,0.19728,0.13532,0.0478,2.73851,17.6508,2.80176,0.001142,0.001142,0.001142
15,67.3696,2.58187,17.1468,2.1558,0.17147,0.14286,0.11718,0.03705,2.67547,21.4455,2.82236,0.001076,0.001076,0.001076
16,93.141,1.70996,27.0332,1.80458,0.13138,0.2449,0.11871,0.03166,2.77097,22.2053,2.83784,0.00101,0.00101,0.00101
17,97.092,2.02741,23.1709,2.01391,0.1658,0.15008,0.1135,0.03284,2.66178,22.1525,2.80351,0.000944,0.000944,0.000944
18,100.933,1.90692,22.0185,1.8529,0.21198,0.17687,0.11841,0.03072,2.60287,22.3522,2.77963,0.000878,0.000878,0.000878
19,104.759,1.73732,26.5527,1.67106,0.20168,0.32653,0.13348,0.03485,2.5838,21.7771,2.716,0.000812,0.000812,0.000812
20,109.004,1.42043,32.2811,1.36656,0.22066,0.31973,0.17249,0.04658,2.59721,19.378,2.6544,0.000746,0.000746,0.000746
21,112.978,1.80478,23.816,1.72289,0.22995,0.28644,0.19303,0.05123,2.60968,18.4646,2.63938,0.00068,0.00068,0.00068
22,116.788,1.82377,24.9654,1.67142,0.28436,0.30612,0.21357,0.05503,2.70794,18.8168,2.65911,0.000614,0.000614,0.000614
23,120.544,1.58048,29.9692,1.62463,0.37695,0.2585,0.24596,0.06953,2.63474,17.156,2.67707,0.000548,0.000548,0.000548
24,124.594,1.85986,20.9006,1.86121,0.43907,0.31293,0.27778,0.08376,2.63398,17.6669,2.68946,0.000482,0.000482,0.000482
25,128.456,1.73247,24.4593,1.54426,0.27708,0.42177,0.26224,0.08912,2.66715,18.1216,2.65581,0.000416,0.000416,0.000416
26,133.334,1.59988,25.6571,1.43512,0.26225,0.42177,0.25987,0.0851,2.64885,19.4714,2.63521,0.00035,0.00035,0.00035
27,137.803,1.83205,21.976,1.81499,0.28195,0.36054,0.24803,0.08235,2.64738,18.6687,2.63849,0.000284,0.000284,0.000284
28,141.883,1.62272,24.6439,1.58016,0.31404,0.32653,0.24305,0.07607,2.62526,18.4277,2.62377,0.000218,0.000218,0.000218
29,146.914,1.72959,22.1614,1.65449,0.31194,0.34234,0.23488,0.07466,2.63543,17.9929,2.63056,0.000152,0.000152,0.000152
30,150.872,1.9657,17.7382,1.97096,0.33771,0.36075,0.24569,0.07855,2.6366,17.6102,2.61844,8.6e-05,8.6e-05,8.6e-05
