epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49069,2.89705,49.924,2.83938,0,0,0,0,5.07056,34.9108,4.16064,0.0005,0.0005,0.0005
2,11.9746,2.97846,43.4468,2.82511,0,0,0,0,5.04893,34.8386,4.15368,0.00098634,0.00098634,0.00098634
3,16.5165,3.61135,28.1507,3.433,0,0,0,0,4.72409,36.2402,4.00357,0.00143836,0.00143836,0.00143836
4,20.791,3.05122,17.854,3.28193,0.02571,0.12925,0.01107,0.0024,3.51113,25.4018,3.78833,0.001802,0.001802,0.001802
5,24.98,2.90849,22.5255,3.1785,0.002,0.12245,0.00032,0.00011,3.40619,20.0759,3.66933,0.001736,0.001736,0.001736
6,29.1357,2.6673,20.5382,2.91209,0.10126,0.13605,0.04919,0.01271,3.35743,25.9685,3.50113,0.00167,0.00167,0.00167
7,33.3255,2.48812,16.7736,2.85698,0.10913,0.19728,0.06411,0.01614,3.23985,23.3573,3.35027,0.001604,0.001604,0.001604
8,37.4716,2.61883,22.6386,2.50076,0.11025,0.20408,0.06888,0.01714,3.25232,22.6031,3.29543,0.001538,0.001538,0.001538
9,41.619,2.48041,23.6667,2.52522,0.15588,0.19728,0.11556,0.03137,2.91532,21.864,3.10798,0.001472,0.001472,0.001472
10,46.28,2.8293,15.3902,2.72542,0.2401,0.12925,0.11686,0.03178,2.90295,23.3332,3.03602,0.001406,0.001406,0.001406
11,50.5968,2.27343,22.4955,2.43115,0.19811,0.12925,0.09031,0.0228,3.07037,18.0106,3.04957,0.00134,0.00134,0.00134
12,54.8375,2.59003,17.975,2.48689,0.20678,0.15646,0.10864,0.02721,3.11267,19.9108,2.95226,0.001274,0.001274,0.001274
13,59.0454,2.32755,22.1008,2.25533,0.19691,0.22449,0.14745,0.04233,2.98532,19.6007,2.94866,0.001208,0.001208,0.001208
14,63.3119,2.37441,20.0421,2.21822,0.18619,0.13605,0.0838,0.0233,3.03526,16.1736,2.8712,0.001142,0.001142,0.001142
15,67.5697,2.52063,15.0991,2.11226,0.19073,0.23129,0.11883,0.03344,3.07003,17.9118,2.83339,0.001076,0.001076,0.001076
16,94.8724,1.84392,24.6978,1.81694,0.18114,0.31293,0.14815,0.03993,3.04972,18.1457,2.8005,0.00101,0.00101,0.00101
17,98.7125,2.02529,20.9501,2.01463,0.19348,0.36229,0.1274,0.03526,2.78727,14.4057,2.8258,0.000944,0.000944,0.000944
18,102.725,1.93603,20.1615,1.91622,0.18099,0.32622,0.11173,0.03252,2.80483,16.0072,2.84681,0.000878,0.000878,0.000878
19,107.725,1.83789,24.0155,1.76168,0.23748,0.32653,0.14292,0.04155,2.74096,15.7749,2.79891,0.000812,0.000812,0.000812
20,113.552,1.45026,29.1877,1.44599,0.28033,0.44898,0.19994,0.05498,2.81498,17.7705,2.75689,0.000746,0.000746,0.000746
21,117.681,1.84659,21.1752,1.79962,0.27247,0.47619,0.19416,0.05236,2.75404,17.4328,2.70766,0.00068,0.00068,0.00068
22,122.024,1.8165,22.6615,1.73443,0.29606,0.35374,0.22942,0.05842,2.66497,15.9442,2.68033,0.000614,0.000614,0.000614
23,125.325,1.54842,27.7135,1.69701,0.31842,0.35374,0.21107,0.05927,2.65368,17.5088,2.70357,0.000548,0.000548,0.000548
24,128.606,1.99126,19.3771,1.90656,0.33257,0.35374,0.22052,0.06172,2.68482,13.7843,2.69618,0.000482,0.000482,0.000482
25,131.967,1.81393,22.293,1.59487,0.39821,0.37415,0.29487,0.08394,2.61874,14.5059,2.62934,0.000416,0.000416,0.000416
26,136.45,1.63624,23.395,1.47622,0.34024,0.39456,0.31425,0.08989,2.61809,15.3814,2.61669,0.00035,0.00035,0.00035
27,140.412,1.80203,19.8897,1.79879,0.3389,0.39456,0.27192,0.08153,2.61276,17.6978,2.57807,0.000284,0.000284,0.000284
28,144.849,1.70118,22.5823,1.61488,0.31624,0.40902,0.29041,0.08989,2.63124,17.8672,2.56727,0.000218,0.000218,0.000218
29,148.172,1.79238,20.5615,1.70043,0.32018,0.40136,0.28177,0.08691,2.60088,18.2194,2.56107,0.000152,0.000152,0.000152
30,151.461,2.09188,15.2696,2.017,0.33808,0.40816,0.24414,0.07465,2.61588,18.5673,2.55802,8.6e-05,8.6e-05,8.6e-05
