epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01497,3.62641,23.3935,3.72501,0,0,0,0,4.86984,33.9468,3.57647,0.00044,0.00044,0.00044
2,10.5806,3.74526,16.2846,3.83707,0,0,0,0,4.8871,34.5163,3.59743,0.0008703,0.0008703,0.0008703
3,15.0315,3.76378,12.5437,3.97779,0,0,0,0,4.88341,35.0648,3.59779,0.00127024,0.00127024,0.00127024
4,19.9584,3.35861,15.7128,3.88467,0,0,0,0,4.74635,35.3924,3.41268,0.00163982,0.00163982,0.00163982
5,25.1498,3.04343,15.5855,3.57541,0.00014,0.01613,7e-05,2e-05,3.95656,31.0389,3.01723,0.001736,0.001736,0.001736
6,30.4865,3.34123,14.7963,3.47161,0.00313,0.37097,0.01548,0.00496,2.98253,20.8791,2.57287,0.00167,0.00167,0.00167
7,36.1458,3.28,16.5579,2.88139,0.00704,0.09677,0.00491,0.0017,2.68519,20.094,2.51988,0.001604,0.001604,0.001604
8,40.5094,2.8503,15.3473,2.93187,0.1825,0.16935,0.09119,0.02445,2.46826,15.0138,2.56733,0.001538,0.001538,0.001538
9,44.9918,3.21572,11.3861,3.22624,0.21834,0.23387,0.12608,0.03215,2.40878,15.2574,2.38892,0.001472,0.001472,0.001472
10,49.9277,2.82501,11.4561,2.73333,0.24827,0.32258,0.20903,0.06596,2.30462,14.5374,2.19296,0.001406,0.001406,0.001406
11,54.5358,3.01333,7.85317,2.87124,0.32477,0.23387,0.20152,0.06868,2.226,11.9392,2.16829,0.00134,0.00134,0.00134
12,59.1923,2.64643,8.3857,2.68274,0.28996,0.16935,0.15092,0.04883,2.19411,12.3482,2.13992,0.001274,0.001274,0.001274
13,63.8673,2.68704,7.84465,2.7168,0.23619,0.30645,0.19434,0.06115,2.22592,10.0991,2.10267,0.001208,0.001208,0.001208
14,68.5114,2.85795,5.26657,2.77042,0.31668,0.3629,0.23177,0.06336,2.2047,9.90947,2.13837,0.001142,0.001142,0.001142
15,72.978,2.4393,17.1128,2.30955,0.23059,0.30645,0.14959,0.04682,2.34483,9.28306,2.28577,0.001076,0.001076,0.001076
16,96.186,2.52989,13.2393,2.66985,0.26074,0.27419,0.18369,0.05096,2.37466,9.44629,2.27493,0.00101,0.00101,0.00101
17,100.147,2.17951,18.8768,2.35429,0.37605,0.24303,0.21621,0.06597,2.27767,9.5975,2.13298,0.000944,0.000944,0.000944
18,104.636,2.39468,13.8643,2.58914,0.30814,0.37903,0.25429,0.0802,2.25065,9.54405,2.08865,0.000878,0.000878,0.000878
19,108.844,2.2199,14.5426,2.24495,0.32844,0.3392,0.27608,0.09023,2.23125,9.31579,2.06597,0.000812,0.000812,0.000812
20,113.145,2.17925,16.5855,2.23621,0.41396,0.3532,0.2712,0.09145,2.20392,8.27143,2.06242,0.000746,0.000746,0.000746
21,117.728,2.44129,8.31212,2.7205,0.41168,0.3629,0.28227,0.08925,2.25841,8.18975,2.06984,0.00068,0.00068,0.00068
22,122.721,2.37648,14.3555,2.46701,0.39065,0.32573,0.30797,0.09961,2.22256,8.13671,2.03294,0.000614,0.000614,0.000614
23,127.687,2.29026,12.566,2.48094,0.3733,0.37097,0.31862,0.10209,2.20182,8.29756,1.98781,0.000548,0.000548,0.000548
24,131.683,2.23591,15.2691,2.24023,0.34409,0.37903,0.29131,0.09231,2.23307,8.51135,1.97151,0.000482,0.000482,0.000482
25,135.771,2.59973,10.2025,2.43843,0.35094,0.37936,0.28693,0.09269,2.20851,8.57138,1.96417,0.000416,0.000416,0.000416
26,139.871,2.36046,14.3174,2.29212,0.38719,0.3871,0.30939,0.10291,2.17823,8.50847,1.959,0.00035,0.00035,0.00035
27,144.946,2.40031,13.9749,2.38695,0.38909,0.3871,0.29361,0.10438,2.11817,8.86777,1.95448,0.000284,0.000284,0.000284
28,148.909,2.16379,15.8128,2.14018,0.39675,0.36599,0.29396,0.10497,2.09491,8.89727,1.96513,0.000218,0.000218,0.000218
29,152.834,2.36956,10.9715,2.38619,0.3876,0.3871,0.29679,0.10758,2.08873,8.69118,1.95515,0.000152,0.000152,0.000152
30,156.979,2.40339,11.5687,2.23365,0.36983,0.40323,0.29325,0.10695,2.07889,8.66805,1.96318,8.6e-05,8.6e-05,8.6e-05
