epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61985,4.44978,33.9874,3.87538,0,0,0,0,4.75738,53.333,3.75051,0.0006,0.0006,0.0006
2,12.4271,4.06779,26.0644,3.70339,0,0,0,0,4.70419,54.1933,3.71307,0.00117974,0.00117974,0.00117974
3,16.9266,3.46776,23.3701,3.57194,0,0,0,0,4.18588,50.1442,3.3837,0.00171856,0.00171856,0.00171856
4,21.4198,3.41947,16.8849,3.40403,0.30389,0.0183,0.03493,0.00789,2.77374,29.3194,2.98296,0.001802,0.001802,0.001802
5,26.3511,3.30749,9.24766,3.36993,0.18741,0.23574,0.08596,0.01816,2.75193,52.0731,2.7914,0.001736,0.001736,0.001736
6,30.8812,2.97886,9.33052,2.9894,0.22378,0.21673,0.11284,0.02303,2.61105,27.0389,2.64962,0.00167,0.00167,0.00167
7,35.422,2.98839,10.4516,3.18164,0.18247,0.30798,0.13602,0.02859,2.53856,26.2153,2.51589,0.001604,0.001604,0.001604
8,39.9402,3.15083,10.6188,2.82451,0.22747,0.22433,0.12262,0.03761,2.38562,24.344,2.43875,0.001538,0.001538,0.001538
9,44.4458,2.66,14.5759,2.68732,0.1863,0.25856,0.11027,0.02738,2.58254,26.4131,2.5913,0.001472,0.001472,0.001472
10,48.9741,2.81351,8.80902,2.84348,0.25405,0.28137,0.16754,0.04435,2.54992,27.5825,2.4239,0.001406,0.001406,0.001406
11,53.3776,2.77902,10.8279,2.70924,0.30672,0.31179,0.20957,0.05857,2.39335,28.1058,2.32336,0.00134,0.00134,0.00134
12,57.9319,2.7297,8.58126,2.79841,0.36611,0.3308,0.2333,0.06888,2.41252,24.6681,2.33802,0.001274,0.001274,0.001274
13,62.4589,2.86734,8.51973,2.691,0.35838,0.38653,0.28625,0.07059,2.40056,23.3606,2.30595,0.001208,0.001208,0.001208
14,66.9766,2.62743,7.92098,2.64372,0.29501,0.30418,0.21959,0.06158,2.29945,23.5352,2.28513,0.001142,0.001142,0.001142
15,71.3921,2.62913,9.62891,2.65585,0.28278,0.38023,0.22237,0.06472,2.37356,23.2399,2.23931,0.001076,0.001076,0.001076
16,93.7801,2.36802,14.0149,2.31229,0.30202,0.34221,0.23094,0.06421,2.39395,22.9219,2.23685,0.00101,0.00101,0.00101
17,98.1504,2.55509,10.5366,2.44295,0.36903,0.34981,0.29545,0.0883,2.33096,21.4789,2.19846,0.000944,0.000944,0.000944
18,102.643,2.42298,10.6308,2.49167,0.36817,0.42966,0.32165,0.09661,2.27421,22.686,2.17866,0.000878,0.000878,0.000878
19,106.989,2.59065,13.0969,2.40596,0.41617,0.37262,0.32489,0.09569,2.31723,21.5903,2.17698,0.000812,0.000812,0.000812
20,111.309,2.40796,12.8882,2.27665,0.41281,0.43572,0.3346,0.09764,2.33734,20.2419,2.19413,0.000746,0.000746,0.000746
21,115.733,2.63113,9.90969,2.62845,0.40451,0.44106,0.33447,0.09314,2.36382,20.0576,2.20602,0.00068,0.00068,0.00068
22,120.115,2.31727,15.13,2.16235,0.43133,0.40953,0.33546,0.08917,2.34661,20.0381,2.17198,0.000614,0.000614,0.000614
23,124.584,2.39717,10.6046,2.48739,0.4577,0.42586,0.36328,0.10478,2.25058,20.8629,2.12474,0.000548,0.000548,0.000548
24,128.953,2.1822,12.1193,2.1998,0.42257,0.42966,0.3659,0.11019,2.20549,20.1864,2.08744,0.000482,0.000482,0.000482
25,133.322,2.24599,12.7872,2.20211,0.44382,0.40304,0.33572,0.09971,2.22306,19.5128,2.08322,0.000416,0.000416,0.000416
26,137.674,2.1423,11.9899,2.15567,0.4235,0.39924,0.32032,0.09653,2.19918,19.4895,2.07694,0.00035,0.00035,0.00035
27,142.022,2.28456,10.9803,2.16661,0.42668,0.43296,0.33029,0.10057,2.19885,19.4623,2.08422,0.000284,0.000284,0.000284
28,146.459,2.37013,8.34112,2.23041,0.44703,0.41065,0.33595,0.09907,2.19974,19.333,2.085,0.000218,0.000218,0.000218
29,150.812,2.21866,8.52705,2.26185,0.42461,0.42205,0.33703,0.09719,2.20943,19.1081,2.08757,0.000152,0.000152,0.000152
30,155.316,2.42455,7.69095,2.44284,0.41934,0.42586,0.34989,0.10164,2.20375,19.1645,2.07991,8.6e-05,8.6e-05,8.6e-05
